Country Name,Country Code,Series Name,Series Code,1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,5.6906113,5.7519961,10.5298896,10.3501355,28.8607414,24.2996488,19.7251611,20.3667652,18.9072348,21.0312529,20.5072949,20.1457819,22.1784637,22.155125,21.6960634,22.7349885,23.7741041,23.2985617,19.6224247,19.1785042,17.960381,18.1708567,13.1405332,10.6546599,13.7358099
Afghanistan,AFG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,17.2307808,17.2032846,24.3251111,25.1139855,28.4642015,29.4429584,29.2228603,25.5733798,22.5910622,24.0575312,22.6613034,22.3148664,23.1217311,19.7786501,26.2877904,23.5106211,23.4723617,21.2442702,21.7827865,21.6637858,21.6583487,24.0335589,24.0573058,25.0303745,28.2258568
Afghanistan,AFG,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,24.0885444,24.0051086,22.822007,22.8117202,26.9097642,26.6313036,25.3014687,25.3059418,23.4034827,25.1604511,25.1356401,23.8258196,24.547485,27.6685806,28.7803146,28.6914007,29.7699576,29.511933,28.27664,28.4439091,28.4695599,27.3576848,24.9753672,24.3193623,23.6535886
Albania,ALB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,32.3625355,29.7698194,38.563708,38.4349672,42.591527,37.7696667,39.3747666,41.2841189,41.9592911,45.7016855,45.5763318,46.4976012,44.742022,44.410272,52.8982848,54.9095937,55.1796244,56.3191004,56.5605037,51.85865,51.704282,53.5111467,55.0925288,57.0459179,57.4136957
Albania,ALB,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,49.739082,44.6039293,54.7135105,58.453819,55.5004905,55.4743215,56.5138104,62.6735004,65.4214943,65.4291264,62.947713,59.9492277,59.5782307,62.5947269,70.3506685,68.0342241,68.7294282,68.6928685,68.4601043,65.9691253,65.8092347,66.3035591,66.0915577,66.3155692,66.243999
Albania,ALB,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,41.9594692,40.2803672,43.9830125,43.9254203,48.1099326,45.5331633,46.4330869,47.9213721,48.8299751,49.9817067,51.4950783,51.8141424,50.0421215,48.6825327,52.2072847,53.0614416,53.4166241,53.4236323,53.9639778,51.9490278,52.5460654,53.4957451,54.7107003,54.3312817,54.925199
Algeria,DZA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,36.1246015,30.3157122,37.3724856,34.5850843,38.1033202,38.0264522,37.0497518,36.7240995,37.2559537,37.761123,39.6206596,37.2941554,38.5167643,40.6276868,45.2110876,44.4268928,43.0877306,41.1681878,45.716986,45.1981709,46.1037431,42.3162152,46.1462983,44.4269433,46.4563079
Algeria,DZA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,29.6255898,38.5173963,36.2744729,37.7674287,43.5847453,51.2410346,47.8661819,47.7794278,48.87271,45.7322868,43.3864826,41.3613393,43.9249937,43.0357222,45.7908836,47.9651356,46.6846903,50.0169672,55.0130534,47.7447231,50.7988142,50.5039858,52.1017611,53.3951013,54.0467968
Algeria,DZA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,38.0153612,35.7892668,46.0446723,46.0472143,46.1178298,44.1696849,43.6743936,44.3086872,43.9828748,43.2082159,43.7110076,42.6235821,42.8471043,44.6601039,42.5745539,41.863492,42.1532807,42.0323238,42.2739483,42.4090971,43.6316749,43.9649172,43.223943,44.3500497,44.9726847
American Samoa,ASM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,..,..,..,..,50.0871189,45.5295067,45.4722208,55.597945,55.6655169,55.9014565,55.9462322,55.9198894,55.9265237,55.9339338,66.2726692,66.2174152,66.236622,66.2428596,66.2771005,66.3104743,66.2151577,66.2717223,66.2632058,66.2931807,66.2614695
American Samoa,ASM,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,..,..,..,..,72.8904941,78.0433194,78.1199851,82.8895608,82.873967,83.0575788,82.8784714,82.7155864,82.698392,82.6458541,87.4702977,87.4300005,87.3296631,87.3419568,87.4284341,87.1971851,87.1872948,87.148494,87.2152796,87.2261384,87.2981254
American Samoa,ASM,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,..,..,..,..,66.3475883,74.9283458,74.8830559,74.9723381,74.8898059,74.7901749,74.760748,75.0109727,74.9156409,74.7025552,79.6888264,79.7837313,79.7993741,79.7610924,79.7988389,80.5861133,77.6519861,77.5397482,77.4707384,77.451965,75.6655388
Andorra,AND,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,65.9251677,65.9865524,65.9914368,65.7415403,68.7456317,65.6076935,75.5894989,75.6761298,75.7437017,75.9796413,76.0244169,75.9980761,76.0047104,76.0121205,86.350854,86.2956019,86.3148087,86.3210444,86.3552853,86.388661,86.2933425,86.3499091,73.8781316,73.9008966,73.8768133
Andorra,AND,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,87.2653731,87.2297648,87.2669651,88.4028693,83.7435366,88.5192565,88.5784579,88.6762245,88.6641837,88.8059678,88.6676615,88.5418828,88.5286053,88.4880365,88.6281722,88.5970547,88.5195742,88.5290665,88.5958436,92.3515614,92.3436526,92.3126307,92.3660278,92.3747104,92.2648945
Andorra,AND,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,73.8732333,73.7714509,73.8993747,70.4838314,69.5574894,74.6282686,74.6022013,79.5506124,79.5031091,79.445763,79.428826,82.1001285,82.0452573,81.922607,84.511811,84.5664361,84.5754407,84.5534058,84.8085442,84.8051674,84.8342983,84.7310822,81.2461127,81.2323803,81.2301636
Angola,AGO,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,29.6492198,29.6774797,27.4225159,22.987123,21.5583861,21.373211,22.32086,23.8657146,25.6001193,30.0018643,32.8394682,31.706399,31.523145,31.3397218,33.062878,33.1054157,32.8806234,32.5164175,32.3152788,33.6134335,31.5783465,33.1661374,35.1519358,35.2271686,36.0732109
Angola,AGO,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,21.2492973,24.1204769,34.8777514,44.5305672,46.0945227,49.295015,54.4255762,53.1332233,57.8430134,56.8953125,61.247033,57.4447644,58.3535602,55.4732915,57.1993992,56.3440261,58.4702515,56.7179099,58.96248,58.7080974,54.9149657,52.3383191,56.6462987,60.5450271,56.0964488
Angola,AGO,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,31.7912377,31.780228,31.2146843,28.1348152,31.9419501,33.571296,34.1374145,34.0577307,35.3923966,35.799459,35.654526,34.4471624,33.8355285,33.5138518,34.501297,34.4422729,34.095534,34.0451221,37.851326,38.8595978,40.6575036,38.0671258,36.9565122,36.4075028,36.8326485
Anguilla,AIA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,..,..,..,..,62.2557117,85.6858783,85.6285923,85.7152232,85.7827951,86.0187346,86.0635103,86.0371676,86.0438038,86.051212,79.658129,79.6028749,79.6220817,66.2428596,66.2771005,66.3104743,66.2151577,66.2717223,72.9559309,72.9859058,72.9541945
Anguilla,AIA,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,..,..,..,..,73.6408734,86.0714478,86.1222878,86.2062456,86.1959044,86.317662,92.3566056,92.2485918,92.2371898,92.2023519,86.8491697,86.8224472,86.7559127,86.764064,86.8214087,86.8386201,89.5659231,89.5288321,89.5926763,89.6030567,89.4717573
Anguilla,AIA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,..,..,..,..,70.6053459,83.7099798,83.6646899,83.7539721,83.6714399,79.1809919,79.1515667,79.4017897,79.3064596,79.0933722,56.271138,56.3660412,56.381684,56.3434023,56.3811488,64.182215,64.2239011,64.0761988,63.9853848,67.8636309,67.8596415
Antigua and Barbuda,ATG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,65.9251677,65.9865524,65.9914368,65.7415403,61.2605298,62.5957623,62.5515349,62.6184185,62.6705848,62.8527383,65.9853236,65.9589828,65.9656171,65.9730272,52.8872095,59.5246902,59.543897,46.1646729,46.1989138,46.2322895,39.444246,39.5008106,49.5362212,59.7249052,59.7008199
Antigua and Barbuda,ATG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,77.9794394,77.9438311,77.9810314,78.3223166,82.3920916,79.1970551,79.2395746,79.3097954,79.301147,79.4029824,81.8787451,81.7884039,81.7788673,81.7497295,81.9376032,81.5439286,78.5409713,76.3931377,79.3888593,81.5566579,81.5492154,81.5200195,84.320676,84.3288462,84.2254939
Antigua and Barbuda,ATG,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,73.6637274,73.5619451,73.6898688,73.6354382,69.9170709,70.4472707,72.8122399,72.8608309,72.8159144,72.7616921,74.6010395,74.7450639,74.6901927,74.5675441,66.4860226,72.6159846,72.5767958,68.2494243,66.9759872,67.1106007,67.1187809,66.717966,67.6358473,67.6096233,67.3216504
Argentina,ARG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,52.6190687,51.5501317,46.9605983,48.6985184,50.8770497,51.6000173,52.3494326,51.3571012,49.9591637,50.2033942,51.4811813,52.7352059,51.3675738,51.0243674,54.804979,53.6485129,58.0051769,57.0891516,56.3521358,56.4534275,54.2362181,53.5291966,53.451823,52.5357627,54.9132764
Argentina,ARG,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,63.6638882,64.9216269,54.6425142,61.6145658,60.2836786,67.3157037,67.2858656,69.3808931,66.0866672,62.7380535,64.2279773,67.9502203,67.2692554,66.4491046,65.6687607,65.3668058,69.1957678,69.9838411,67.9516636,66.8707383,66.8381534,67.4693134,66.8790416,65.539658,62.9948599
